"Proposed page title","URL","Primary target keyword","Secondary keyword themes","Search intent","Funnel stage","Parent topic/pillar","Pages it should link to","Pages that should link to it","Primary IRN service/conversion goal","Priority","Current status","Cannibalisation risk","Notes","Phase","Page type","Cluster","Publication status","Last updated","Internal links completed","Schema completed","Search Console impressions","Search Console clicks","Average position","CTR","Notes/actions","Live title","Live meta description","Live canonical","Live robots","Live H1","Live schema types","Hero image status","Supporting image status","Image brief status","ALT text status","OG image status"
"Find the right rehab, detox or recovery support without guessing.","/","private rehab placement UK","addiction treatment guidance; rehab placement; online recovery","Commercial investigation","Decision","Treatment navigation","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified treatment enquiry","P3","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Homepage","Treatment navigation","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Private Rehab Placement UK | Insight Recovery Network","Confidential help comparing private rehab, detox, family intervention and structured online addiction support in the UK and selected destinations.","https://www.insightrecoverynetwork.com/","index, follow","Find the right rehab, detox or recovery support without guessing.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Craig Bilton, Founder of Insight Recovery Network","/about","about craig bilton","trust; credentials; governance","Navigational","Trust","Trust","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Trust and assisted conversion","P3","Existing","Low","No BreadcrumbList found in live raw HTML.","Existing inventory","About / E-E-A-T","Trust","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML.","About Craig Bilton | Founder, Insight Recovery Network","Meet Craig Bilton, Founder and Clinical Director of Insight Recovery Network, and learn how his 20+ years in addiction treatment shaped IRN","https://www.insightrecoverynetwork.com/about","index, follow","Craig Bilton, Founder of Insight Recovery Network","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Addiction Recovery Services for Individuals and Families","/what-we-offer","addiction recovery services for individuals and families","private addiction support; assessment; next steps","Transactional","Decision","Family support","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML.","Existing inventory","Service / treatment","Family support","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML.","Addiction Recovery Services | Placement, Online & Family Support","Compare assessment-led rehab placement, structured online recovery, family guidance and Insight OS tools from Insight Recovery Network.","https://www.insightrecoverynetwork.com/what-we-offer","index, follow","Addiction Recovery Services for Individuals and Families","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Find a Suitable Private Rehab or Detox Provider Without a Rushed Decision","/treatment-placement","addiction treatment UK","private addiction treatment UK; rehab placement; detox placement","Transactional","Decision","Treatment navigation","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Treatment placement enquiry","P1","Improve","Medium","No BreadcrumbList found in live raw HTML.","Existing inventory","Service / treatment","Assessment","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML.","Help Choosing a Rehab | Assessment-Led Placement","Assessment-led help choosing a private rehab or detox provider. Compare suitable UK and international options, provider relationships and admission planning.","https://www.insightrecoverynetwork.com/treatment-placement","index, follow","Find a Suitable Private Rehab or Detox Provider Without a Rushed Decision","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Structured Online Addiction Recovery Programme","/online-programme","online addiction recovery programme","online addiction treatment cost; structured online recovery","Transactional","Decision","Online recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Online programme enquiry","P1","Improve","Medium","No BreadcrumbList found in live raw HTML. Meta description is 218 characters; shorten without losing decision value.","Existing inventory","Service / treatment","Online recovery","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 218 characters; shorten without losing decision value.","Online Addiction Recovery Programme | Insight Recovery Network","A structured online addiction recovery programme with group therapy, one-to-one support, daily accountability, and relapse prevention planning, available without residential care. Delivered by Insight Recovery Network.","https://www.insightrecoverynetwork.com/online-programme","index, follow","Structured Online Addiction Recovery Programme","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Digital Recovery Tools for Addiction and Mental Health","/insight-os","digital recovery tools for addiction and mental health","private addiction support; assessment; next steps","Transactional","Decision","Online recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Title is 77 characters; review SERP truncation and keyword focus.","Existing inventory","Service / treatment","Online recovery","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 77 characters; review SERP truncation and keyword focus.","Insight OS: The Operating System for Your Recovery | Insight Recovery Network","Insight OS is a structured digital recovery platform with daily check-ins, mood tracking, guided journaling, relapse prevention tools, and Anchor recovery guidance.","https://www.insightrecoverynetwork.com/insight-os","index, follow","Digital Recovery Tools for Addiction and Mental Health","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Tell us what is happening. We will help you identify the next step.","/contact","tell us what is happening. we will help you identify the next step.","private addiction support; assessment; next steps","Transactional","Decision","General recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 229 characters; shorten without losing decision value.","Existing inventory","Contact","General recovery","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 229 characters; shorten without losing decision value.","Contact Us | Book a confidential call | Insight Recovery Network","Contact Insight Recovery Network confidentially. Based in Newquay, Cornwall, we provide private guidance on addiction treatment, rehab placement, online recovery programmes, and mental health support for individuals and families.","https://www.insightrecoverynetwork.com/contact","index, follow","Tell us what is happening. We will help you identify the next step.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"You do not have to wait for them to ask for help.","/family-addiction-intervention-uk","family addiction help UK","addiction intervention UK; loved one refuses treatment","Transactional","Decision","Family support","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Family support enquiry","P1","Improve","Medium","No BreadcrumbList found in live raw HTML. Title is 66 characters; review SERP truncation and keyword focus. Meta description is 190 characters; shorten without losing decision value. Raw HTML is light at about 254 words; assess usefulness rather than adding filler.","Existing inventory","Service / treatment","Family support","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 66 characters; review SERP truncation and keyword focus. Meta description is 190 characters; shorten without losing decision value. Raw HTML is light at about 254 words; assess usefulness rather than adding filler.","Family Addiction Help & Intervention UK | Insight Recovery Network","Confidential family addiction consultations and intervention guidance in the UK. Get a clear plan when someone you love is drinking, using drugs, refusing help or may need private treatment.","https://www.insightrecoverynetwork.com/family-addiction-intervention-uk","index, follow","You do not have to wait for them to ask for help.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Get help before the problem decides for you.","/confidential-addiction-help-professionals","get help before the problem decides for you.","private addiction support; assessment; next steps","Transactional","Decision","General recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Qualified enquiry","P3","Existing","Low","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML. Title is 75 characters; review SERP truncation and keyword focus. Meta description is 175 characters; shorten without losing decision value. Raw HTML is light at about 194 words; assess usefulness rather than adding filler.","Existing inventory","Service / treatment","General recovery","Live","","No - raw HTML orphan","Partial - breadcrumb missing live","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML. Title is 75 characters; review SERP truncation and keyword focus. Meta description is 175 characters; shorten without losing decision value. Raw HTML is light at about 194 words; assess usefulness rather than adding filler.","Confidential Addiction Help for Professionals UK | Insight Recovery Network","Discreet addiction treatment guidance for executives, professionals and business owners. Compare structured online support, private detox and residential rehab confidentially.","https://www.insightrecoverynetwork.com/confidential-addiction-help-professionals","index, follow","Get help before the problem decides for you.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"A good plan can still be the wrong fit.","/recovery-plan-checklist","a good plan can still be the wrong fit.","addiction recovery; support; next steps","Navigational","Consideration","General recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Assisted conversion","P3","Existing","Low","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML. Raw HTML is light at about 180 words; assess usefulness rather than adding filler.","Existing inventory","Lead magnet / tool","General recovery","Live","","No - raw HTML orphan","Partial - breadcrumb missing live","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML. Raw HTML is light at about 180 words; assess usefulness rather than adding filler.","Recovery Plan Checklist | Insight Recovery Network","A practical one-page checklist to help you assess whether a recovery plan, treatment programme, or aftercare structure is the right fit.","https://www.insightrecoverynetwork.com/recovery-plan-checklist","index, follow","A good plan can still be the wrong fit.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
